"Countries  and areas","2007-2013","2014-2020"
"Angola","34","31"
"Zimbabwe","29","37"
"Guinea","47","44"
"Burundi","52","46"
"Mauritania","46","48"
"Liberia","50","55"
"Kenya","48","59"
"Central African Republic","47","61"
"Nigeria","42","61"
"Democratic Republic of the  Congo","51","63"
"South Sudan","34","63"
"Ethiopia","47","64"
"Congo","27","66"
"Rwanda","82","66"
"Sierra Leone","36","68"
"Togo","57","71"
"Cameroon","36","73"
"Ghana","48","74"
"Burkina Faso","57","75"
"Côte d'Ivoire","67","76"
"Gambia","51","77"
"Chad","42","77"
"Madagascar","80","78"
"Sao Tome and Principe","61","78"
"United Republic of Tanzania","64","78"
"Zambia","64","78"
"Senegal","63","81"
"Mozambique","51","82"
"Malawi","57","82"
"Uganda","60","83"
"Benin","80","85"
"Mali","77","85"
"Niger","76","87"
"Guinea-Bissau","53","97"
"Niger","43","95.5"
